rawOccupancy,ESM_0.3,AESM,MAM
2510.0, 2204.43, 2616.28, 1478.50
840.0, 1280.22, 1377.19, 1540.00
1880.0, 2038.80, 2297.75, 2551.00
2220.0, 2649.68, 3191.32, 2673.50
3910.0, 3804.25, 3368.16, 3440.50
3380.0, 3995.05, 4387.22, 4054.50
4050.0, 4469.63, 4482.78, 4976.50
4860.0, 4614.97, 4013.08, 4771.00
5090.0, 4830.58, 4222.91, 4990.50
7510.0, 6859.19, 6525.28, 5764.00
4150.0, 5408.04, 6333.69, 5032.50
3730.0, 4409.84, 4430.81, 4898.00
6010.0, 6235.65, 6230.50, 5240.00
4810.0, 5205.36, 4985.72, 6065.00
7440.0, 5396.58, 5288.05, 5816.00
5440.0, 5603.57, 5818.68, 5827.50
6460.0, 6031.44, 6400.70, 5849.50
8080.0, 6634.89, 6456.48, 5961.50
4710.0, 5347.08, 5174.22, 6289.50
3610.0, 3877.16, 4186.05, 5025.00
4040.0, 4459.92, 4689.54, 4032.00
7300.0, 7252.69, 7238.61, 5879.00
5770.0, 4623.49, 4768.69, 4631.50
5320.0, 4955.87, 4642.34, 4841.50
6120.0, 3898.77, 4007.95, 4620.00
5440.0, 4434.39, 4688.06, 4318.00
6900.0, 5745.27, 6070.97, 4942.50
3860.0, 4771.86, 4686.64, 4801.50
4250.0, 4593.18, 3711.41, 4221.00
3490.0, 3540.38, 3368.34, 4188.00
3790.0, 4617.27, 5237.91, 3968.00
6160.0, 4509.59, 4721.72, 4464.00
4690.0, 5520.48, 5785.31, 4984.00
4620.0, 4276.83, 4436.45, 4436.50
5540.0, 5567.41, 6250.85, 5281.50
6480.0, 5796.01, 5492.05, 5387.00
5410.0, 6026.03, 6155.63, 5702.00
4530.0, 4804.59, 6103.47, 4837.00
8350.0, 6159.64, 6305.08, 5794.00
5110.0, 4870.03, 5585.77, 5657.00
5410.0, 5078.44, 4260.33, 5348.50
5120.0, 4719.90, 4397.26, 4826.00
5090.0, 5808.65, 5422.53, 5619.00
5380.0, 5813.29, 5718.52, 5278.50
5390.0, 5027.98, 5664.60, 4978.00
4550.0, 4204.90, 4412.71, 4844.50
3430.0, 3982.91, 4201.71, 4487.00
4450.0, 4020.70, 3716.92, 3760.00
5940.0, 4202.70, 3798.13, 4101.50
4470.0, 4755.89, 4546.44, 4669.50
4860.0, 4667.56, 4468.00, 4583.50
2940.0, 3482.02, 3420.94, 4252.00
4410.0, 3727.61, 4170.52, 3769.00
4710.0, 4162.76, 4514.20, 4058.00
4140.0, 4480.78, 4214.98, 4156.50
4080.0, 3890.80, 3631.10, 3604.00
2910.0, 2611.77, 2010.88, 2732.00
2680.0, 2790.27, 2572.08, 2340.50
1760.0, 1885.88, 1714.42, 2407.00
2160.0, 1904.17, 2234.58, 1669.50
