StartTime,EndTime,vehicleCount,vehicleCount_pre,APE
2018/12/24 0:00,2018/12/24 0:05,35,25,28.571
2018/12/24 0:05,2018/12/24 0:10,36,34,5.556
2018/12/24 0:10,2018/12/24 0:15,42,34,19.048
2018/12/24 0:15,2018/12/24 0:20,38,45,18.421
2018/12/24 0:20,2018/12/24 0:25,43,39,9.302
2018/12/24 0:25,2018/12/24 0:30,36,39,8.333
2018/12/24 0:30,2018/12/24 0:35,30,42,40
2018/12/24 0:35,2018/12/24 0:40,35,42,20
2018/12/24 0:40,2018/12/24 0:45,37,35,5.405
2018/12/24 0:45,2018/12/24 0:50,26,50,92.308
2018/12/24 0:50,2018/12/24 0:55,32,35,9.375
2018/12/24 0:55,2018/12/24 1:00,23,41,78.261
2018/12/24 1:00,2018/12/24 1:05,31,23,25.806
2018/12/24 1:05,2018/12/24 1:10,37,31,16.216
2018/12/24 1:10,2018/12/24 1:15,22,38,72.727
2018/12/24 1:15,2018/12/24 1:20,25,30,20
2018/12/24 1:20,2018/12/24 1:25,32,30,6.25
2018/12/24 1:25,2018/12/24 1:30,23,32,39.13
2018/12/24 1:30,2018/12/24 1:35,22,36,63.636
2018/12/24 1:35,2018/12/24 1:40,30,31,3.333
2018/12/24 1:40,2018/12/24 1:45,32,23,28.125
2018/12/24 1:45,2018/12/24 1:50,23,24,4.348
2018/12/24 1:50,2018/12/24 1:55,20,22,10
2018/12/24 1:55,2018/12/24 2:00,28,21,25
2018/12/24 2:00,2018/12/24 2:05,20,31,55
2018/12/24 2:05,2018/12/24 2:10,26,27,3.846
2018/12/24 2:10,2018/12/24 2:15,17,32,88.235
2018/12/24 2:15,2018/12/24 2:20,24,19,20.833
2018/12/24 2:20,2018/12/24 2:25,19,19,0
2018/12/24 2:25,2018/12/24 2:30,19,20,5.263
2018/12/24 2:30,2018/12/24 2:35,21,19,9.524
2018/12/24 2:35,2018/12/24 2:40,21,28,33.333
2018/12/24 2:40,2018/12/24 2:45,21,21,0
2018/12/24 2:45,2018/12/24 2:50,24,20,16.667
2018/12/24 2:50,2018/12/24 2:55,22,31,40.909
2018/12/24 2:55,2018/12/24 3:00,26,20,23.077
2018/12/24 3:00,2018/12/24 3:05,35,19,45.714
2018/12/24 3:05,2018/12/24 3:10,26,34,30.769
2018/12/24 3:10,2018/12/24 3:15,21,34,61.905
2018/12/24 3:15,2018/12/24 3:20,39,25,35.897
2018/12/24 3:20,2018/12/24 3:25,16,38,137.5
2018/12/24 3:25,2018/12/24 3:30,27,16,40.741
2018/12/24 3:30,2018/12/24 3:35,26,34,30.769
2018/12/24 3:35,2018/12/24 3:40,31,16,48.387
2018/12/24 3:40,2018/12/24 3:45,34,23,32.353
2018/12/24 3:45,2018/12/24 3:50,27,34,25.926
2018/12/24 3:50,2018/12/24 3:55,36,20,44.444
2018/12/24 3:55,2018/12/24 4:00,34,35,2.941
2018/12/24 4:00,2018/12/24 4:05,23,34,47.826
2018/12/24 4:05,2018/12/24 4:10,42,33,21.429
2018/12/24 4:10,2018/12/24 4:15,21,25,19.048
2018/12/24 4:15,2018/12/24 4:20,41,23,43.902
2018/12/24 4:20,2018/12/24 4:25,37,35,5.405
2018/12/24 4:25,2018/12/24 4:30,25,34,36
2018/12/24 4:30,2018/12/24 4:35,37,36,2.703
2018/12/24 4:35,2018/12/24 4:40,32,25,21.875
2018/12/24 4:40,2018/12/24 4:45,28,23,17.857
2018/12/24 4:45,2018/12/24 4:50,30,31,3.333
2018/12/24 4:50,2018/12/24 4:55,31,37,19.355
2018/12/24 4:55,2018/12/24 5:00,32,36,12.5
2018/12/24 5:00,2018/12/24 5:05,27,30,11.111
2018/12/24 5:05,2018/12/24 5:10,34,27,20.588
2018/12/24 5:10,2018/12/24 5:15,43,36,16.279
2018/12/24 5:15,2018/12/24 5:20,32,42,31.25
2018/12/24 5:20,2018/12/24 5:25,41,23,43.902
2018/12/24 5:25,2018/12/24 5:30,45,40,11.111
2018/12/24 5:30,2018/12/24 5:35,49,33,32.653
2018/12/24 5:35,2018/12/24 5:40,41,28,31.707
2018/12/24 5:40,2018/12/24 5:45,44,45,2.273
2018/12/24 5:45,2018/12/24 5:50,56,48,14.286
2018/12/24 5:50,2018/12/24 5:55,63,33,47.619
2018/12/24 5:55,2018/12/24 6:00,62,49,20.968
2018/12/24 6:00,2018/12/24 6:05,63,62,1.587
2018/12/24 6:05,2018/12/24 6:10,80,44,45
2018/12/24 6:10,2018/12/24 6:15,71,63,11.268
2018/12/24 6:15,2018/12/24 6:20,58,79,36.207
2018/12/24 6:20,2018/12/24 6:25,78,57,26.923
2018/12/24 6:25,2018/12/24 6:30,57,62,8.772
2018/12/24 6:30,2018/12/24 6:35,67,56,16.418
2018/12/24 6:35,2018/12/24 6:40,89,57,35.955
2018/12/24 6:40,2018/12/24 6:45,90,79,12.222
2018/12/24 6:45,2018/12/24 6:50,78,89,14.103
2018/12/24 6:50,2018/12/24 6:55,94,89,5.319
2018/12/24 6:55,2018/12/24 7:00,104,77,25.962
2018/12/24 7:00,2018/12/24 7:05,129,104,19.38
2018/12/24 7:05,2018/12/24 7:10,131,128,2.29
2018/12/24 7:10,2018/12/24 7:15,131,128,2.29
2018/12/24 7:15,2018/12/24 7:20,141,104,26.241
2018/12/24 7:20,2018/12/24 7:25,170,130,23.529
2018/12/24 7:25,2018/12/24 7:30,175,103,41.143
2018/12/24 7:30,2018/12/24 7:35,164,174,6.098
2018/12/24 7:35,2018/12/24 7:40,173,169,2.312
2018/12/24 7:40,2018/12/24 7:45,199,163,18.09
2018/12/24 7:45,2018/12/24 7:50,184,169,8.152
2018/12/24 7:50,2018/12/24 7:55,195,183,6.154
2018/12/24 7:55,2018/12/24 8:00,188,169,10.106
2018/12/24 8:00,2018/12/24 8:05,248,198,20.161
